AssignmentID,WorkerID,DriverID,WorkplaceID,ShiftID,Status
A00001,W0597,D037,WP011,S0001,Absent
A00002,W0430,D037,WP011,S0001,Assigned
A00003,W0675,D037,WP011,S0001,Assigned
A00004,W0694,D037,WP011,S0001,Assigned
A00005,W0740,D037,WP011,S0001,Absent
A00006,W0076,D037,WP011,S0001,Assigned
A00007,W0597,D006,WP013,S0002,Assigned
A00008,W0398,D006,WP013,S0002,Assigned
A00009,W0311,D006,WP013,S0002,Assigned
A00010,W0130,D006,WP013,S0002,Assigned
A00011,W0457,D006,WP013,S0002,Assigned
A00012,W0140,D006,WP013,S0002,Assigned
A00013,W0169,D006,WP013,S0002,Assigned
A00014,W0456,D006,WP013,S0002,Assigned
A00015,W0432,D006,WP013,S0002,Assigned
A00016,W0096,D006,WP013,S0002,Assigned
A00017,W0253,D006,WP013,S0002,Assigned
A00018,W0110,D006,WP013,S0002,Assigned
A00019,W0582,D006,WP013,S0002,Assigned
A00020,W0745,D006,WP013,S0002,Assigned
A00021,W0147,D006,WP013,S0002,Assigned
A00022,W0504,D035,WP011,S0003,Assigned
A00023,W0603,D035,WP011,S0003,Assigned
A00024,W0230,D035,WP011,S0003,Absent
A00025,W0013,D035,WP011,S0003,Assigned
A00026,W0715,D035,WP011,S0003,Assigned
A00027,W0295,D035,WP011,S0003,Assigned
A00028,W0642,D035,WP011,S0003,Assigned
A00029,W0301,D035,WP011,S0003,Assigned
A00030,W0525,D035,WP011,S0003,Assigned
A00031,W0532,D024,WP010,S0004,Assigned
A00032,W0233,D024,WP010,S0004,Assigned
A00033,W0093,D024,WP010,S0004,Assigned
A00034,W0586,D024,WP010,S0004,Assigned
A00035,W0616,D024,WP010,S0004,Assigned
A00036,W0598,D024,WP010,S0004,Assigned
A00037,W0148,D024,WP010,S0004,Assigned
A00038,W0721,D024,WP010,S0004,Assigned
A00039,W0163,D024,WP010,S0004,Assigned
A00040,W0515,D024,WP010,S0004,Assigned
A00041,W0692,D024,WP010,S0004,Assigned
A00042,W0597,D024,WP010,S0004,Assigned
A00043,W0055,D024,WP010,S0004,Assigned
A00044,W0719,D024,WP010,S0004,Assigned
A00045,W0365,D044,WP006,S0005,Assigned
A00046,W0672,D044,WP006,S0005,Assigned
A00047,W0537,D044,WP006,S0005,Assigned
A00048,W0312,D044,WP006,S0005,Assigned
A00049,W0536,D044,WP006,S0005,Assigned
A00050,W0232,D044,WP006,S0005,Assigned
A00051,W0774,D044,WP006,S0005,Assigned
A00052,W0111,D044,WP006,S0005,Assigned
A00053,W0670,D044,WP006,S0005,Assigned
A00054,W0399,D044,WP006,S0005,Assigned
A00055,W0057,D044,WP006,S0005,Assigned
A00056,W0337,D044,WP006,S0005,Assigned
A00057,W0175,D044,WP006,S0005,Assigned
A00058,W0384,D044,WP006,S0005,Assigned
A00059,W0296,D021,WP000,S0006,Assigned
A00060,W0542,D021,WP000,S0006,Assigned
A00061,W0011,D021,WP000,S0006,Assigned
A00062,W0604,D021,WP000,S0006,Absent
A00063,W0560,D021,WP000,S0006,Assigned
A00064,W0747,D021,WP000,S0006,Assigned
A00065,W0295,D047,WP003,S0007,Assigned
A00066,W0764,D047,WP003,S0007,Assigned
A00067,W0165,D047,WP003,S0007,Absent
A00068,W0167,D047,WP003,S0007,Assigned
A00069,W0011,D047,WP003,S0007,Assigned
A00070,W0649,D047,WP003,S0007,Absent
A00071,W0744,D047,WP003,S0007,Assigned
A00072,W0534,D047,WP003,S0007,Assigned
A00073,W0341,D047,WP003,S0007,Assigned
A00074,W0120,D028,WP010,S0008,Absent
A00075,W0602,D028,WP010,S0008,Assigned
A00076,W0507,D028,WP010,S0008,Assigned
A00077,W0410,D028,WP010,S0008,Assigned
A00078,W0004,D028,WP010,S0008,Assigned
A00079,W0510,D028,WP010,S0008,Assigned
A00080,W0369,D028,WP010,S0008,Assigned
A00081,W0686,D028,WP010,S0008,Assigned
A00082,W0309,D028,WP010,S0008,Assigned
A00083,W0377,D028,WP010,S0008,Assigned
A00084,W0516,D028,WP010,S0008,Assigned
A00085,W0292,D028,WP010,S0008,Assigned
A00086,W0188,D028,WP010,S0008,Assigned
A00087,W0389,D028,WP010,S0008,Assigned
A00088,W0236,D028,WP010,S0008,Assigned
A00089,W0102,D049,WP007,S0009,Assigned
A00090,W0385,D049,WP007,S0009,Assigned
A00091,W0232,D049,WP007,S0009,Assigned
A00092,W0546,D049,WP007,S0009,Assigned
A00093,W0569,D049,WP007,S0009,Assigned
A00094,W0555,D049,WP007,S0009,Assigned
A00095,W0119,D049,WP007,S0009,Assigned
A00096,W0626,D049,WP007,S0009,Assigned
A00097,W0519,D049,WP007,S0009,Assigned
A00098,W0380,D049,WP007,S0009,Assigned
A00099,W0518,D049,WP007,S0009,Assigned
A00100,W0797,D049,WP007,S0009,Assigned
A00101,W0715,D049,WP007,S0009,Assigned
A00102,W0794,D049,WP007,S0009,Assigned
A00103,W0629,D007,WP003,S0010,Assigned
A00104,W0283,D007,WP003,S0010,Assigned
A00105,W0003,D007,WP003,S0010,Assigned
A00106,W0655,D007,WP003,S0010,Assigned
A00107,W0564,D007,WP003,S0010,Assigned
A00108,W0663,D007,WP003,S0010,Absent
A00109,W0465,D007,WP003,S0010,Assigned
A00110,W0559,D007,WP003,S0010,Assigned
A00111,W0798,D007,WP003,S0010,Assigned
A00112,W0282,D007,WP003,S0010,Assigned
A00113,W0618,D007,WP003,S0010,Assigned
A00114,W0779,D048,WP001,S0011,Assigned
A00115,W0310,D048,WP001,S0011,Assigned
A00116,W0190,D048,WP001,S0011,Assigned
A00117,W0723,D048,WP001,S0011,Absent
A00118,W0044,D048,WP001,S0011,Assigned
A00119,W0131,D048,WP001,S0011,Absent
A00120,W0052,D048,WP001,S0011,Assigned
A00121,W0590,D048,WP001,S0011,Assigned
A00122,W0087,D048,WP001,S0011,Assigned
A00123,W0175,D048,WP001,S0011,Assigned
A00124,W0062,D048,WP001,S0011,Assigned
A00125,W0002,D000,WP012,S0012,Assigned
A00126,W0509,D000,WP012,S0012,Assigned
A00127,W0724,D000,WP012,S0012,Assigned
A00128,W0014,D000,WP012,S0012,Absent
A00129,W0362,D000,WP012,S0012,Assigned
A00130,W0342,D000,WP012,S0012,Assigned
A00131,W0232,D000,WP012,S0012,Assigned
A00132,W0242,D000,WP012,S0012,Assigned
A00133,W0708,D000,WP012,S0012,Assigned
A00134,W0116,D000,WP012,S0012,Assigned
A00135,W0703,D020,WP001,S0013,Assigned
A00136,W0533,D020,WP001,S0013,Assigned
A00137,W0257,D020,WP001,S0013,Assigned
A00138,W0637,D020,WP001,S0013,Assigned
A00139,W0618,D020,WP001,S0013,Assigned
A00140,W0226,D020,WP005,S0014,Assigned
A00141,W0324,D020,WP005,S0014,Assigned
A00142,W0508,D020,WP005,S0014,Assigned
A00143,W0007,D020,WP005,S0014,Assigned
A00144,W0716,D020,WP005,S0014,Absent
A00145,W0682,D020,WP005,S0014,Assigned
A00146,W0657,D020,WP005,S0014,Assigned
A00147,W0594,D020,WP005,S0014,Assigned
A00148,W0522,D020,WP005,S0014,Assigned
A00149,W0019,D020,WP005,S0014,Assigned
A00150,W0562,D020,WP005,S0014,Assigned
A00151,W0029,D020,WP005,S0014,Assigned
A00152,W0459,D020,WP005,S0014,Assigned
A00153,W0237,D020,WP005,S0014,Assigned
A00154,W0667,D007,WP002,S0015,Assigned
A00155,W0739,D007,WP002,S0015,Assigned
A00156,W0419,D007,WP002,S0015,Assigned
A00157,W0030,D007,WP002,S0015,Absent
A00158,W0288,D007,WP002,S0015,Assigned
A00159,W0696,D007,WP002,S0015,Assigned
A00160,W0337,D007,WP002,S0015,Assigned
A00161,W0412,D007,WP002,S0015,Absent
A00162,W0772,D007,WP002,S0015,Assigned
A00163,W0413,D007,WP002,S0015,Assigned
A00164,W0105,D007,WP002,S0015,Assigned
A00165,W0564,D007,WP002,S0015,Assigned
A00166,W0360,D007,WP002,S0015,Assigned
A00167,W0289,D007,WP002,S0015,Assigned
A00168,W0468,D030,WP008,S0016,Assigned
A00169,W0164,D030,WP008,S0016,Assigned
A00170,W0640,D030,WP008,S0016,Assigned
A00171,W0138,D030,WP008,S0016,Assigned
A00172,W0506,D030,WP008,S0016,Assigned
A00173,W0130,D030,WP008,S0016,Assigned
A00174,W0352,D030,WP008,S0016,Absent
A00175,W0408,D030,WP008,S0016,Absent
A00176,W0151,D030,WP008,S0016,Assigned
A00177,W0019,D030,WP008,S0016,Assigned
A00178,W0774,D030,WP008,S0016,Assigned
A00179,W0085,D038,WP014,S0017,Assigned
A00180,W0390,D038,WP014,S0017,Assigned
A00181,W0149,D038,WP014,S0017,Assigned
A00182,W0475,D038,WP014,S0017,Assigned
A00183,W0585,D038,WP014,S0017,Assigned
A00184,W0552,D038,WP014,S0017,Absent
A00185,W0660,D038,WP014,S0017,Absent
A00186,W0748,D038,WP014,S0017,Assigned
A00187,W0033,D038,WP014,S0017,Assigned
A00188,W0174,D038,WP014,S0017,Assigned
A00189,W0199,D038,WP014,S0017,Assigned
A00190,W0521,D038,WP014,S0017,Assigned
A00191,W0586,D027,WP013,S0018,Assigned
A00192,W0485,D027,WP013,S0018,Assigned
A00193,W0373,D027,WP013,S0018,Assigned
A00194,W0503,D027,WP013,S0018,Assigned
A00195,W0536,D027,WP013,S0018,Assigned
A00196,W0358,D027,WP013,S0018,Assigned
A00197,W0041,D027,WP013,S0018,Assigned
A00198,W0522,D047,WP006,S0019,Assigned
A00199,W0605,D047,WP006,S0019,Assigned
A00200,W0303,D047,WP006,S0019,Assigned
A00201,W0461,D047,WP006,S0019,Assigned
A00202,W0103,D047,WP006,S0019,Assigned
A00203,W0010,D047,WP006,S0019,Assigned
A00204,W0534,D047,WP006,S0019,Assigned
A00205,W0339,D047,WP006,S0019,Assigned
A00206,W0623,D047,WP006,S0019,Assigned
A00207,W0657,D047,WP006,S0019,Assigned
A00208,W0043,D047,WP006,S0019,Assigned
A00209,W0474,D011,WP004,S0020,Assigned
A00210,W0751,D011,WP004,S0020,Assigned
A00211,W0733,D011,WP004,S0020,Assigned
A00212,W0198,D011,WP004,S0020,Assigned
A00213,W0554,D011,WP004,S0020,Assigned
A00214,W0385,D011,WP004,S0020,Assigned
A00215,W0639,D011,WP004,S0020,Assigned
A00216,W0119,D011,WP004,S0020,Assigned
A00217,W0663,D011,WP004,S0020,Assigned
A00218,W0655,D011,WP004,S0020,Assigned
A00219,W0493,D011,WP004,S0020,Assigned
A00220,W0139,D011,WP004,S0020,Assigned
A00221,W0277,D011,WP004,S0020,Assigned
A00222,W0518,D011,WP004,S0020,Assigned
A00223,W0238,D007,WP008,S0021,Assigned
A00224,W0744,D007,WP008,S0021,Assigned
A00225,W0567,D007,WP008,S0021,Assigned
A00226,W0168,D007,WP008,S0021,Assigned
A00227,W0092,D007,WP008,S0021,Assigned
A00228,W0483,D007,WP008,S0021,Assigned
A00229,W0073,D007,WP008,S0021,Assigned
A00230,W0423,D013,WP003,S0022,Assigned
A00231,W0319,D013,WP003,S0022,Assigned
A00232,W0569,D013,WP003,S0022,Assigned
A00233,W0725,D013,WP003,S0022,Assigned
A00234,W0076,D013,WP003,S0022,Assigned
A00235,W0340,D035,WP014,S0023,Assigned
A00236,W0140,D035,WP014,S0023,Absent
A00237,W0745,D035,WP014,S0023,Assigned
A00238,W0290,D035,WP014,S0023,Assigned
A00239,W0694,D035,WP014,S0023,Absent
A00240,W0284,D035,WP014,S0023,Assigned
A00241,W0682,D035,WP014,S0023,Assigned
A00242,W0064,D035,WP014,S0023,Assigned
A00243,W0586,D035,WP014,S0023,Assigned
A00244,W0572,D035,WP014,S0023,Assigned
A00245,W0217,D035,WP014,S0023,Assigned
A00246,W0362,D020,WP004,S0024,Assigned
A00247,W0469,D020,WP004,S0024,Assigned
A00248,W0500,D020,WP004,S0024,Assigned
A00249,W0398,D020,WP004,S0024,Assigned
A00250,W0689,D020,WP004,S0024,Assigned
A00251,W0572,D020,WP004,S0024,Assigned
A00252,W0589,D020,WP004,S0024,Assigned
A00253,W0764,D020,WP004,S0024,Assigned
A00254,W0321,D020,WP004,S0024,Assigned
A00255,W0524,D020,WP004,S0024,Assigned
A00256,W0008,D020,WP004,S0024,Assigned
A00257,W0228,D020,WP004,S0024,Assigned
A00258,W0651,D012,WP007,S0025,Assigned
A00259,W0319,D012,WP007,S0025,Absent
A00260,W0439,D012,WP007,S0025,Assigned
A00261,W0345,D012,WP007,S0025,Assigned
A00262,W0332,D012,WP007,S0025,Assigned
A00263,W0049,D012,WP007,S0025,Absent
A00264,W0145,D025,WP014,S0026,Assigned
A00265,W0098,D025,WP014,S0026,Assigned
A00266,W0615,D025,WP014,S0026,Assigned
A00267,W0103,D025,WP014,S0026,Assigned
A00268,W0442,D025,WP014,S0026,Assigned
A00269,W0256,D025,WP014,S0026,Assigned
A00270,W0582,D025,WP014,S0026,Assigned
A00271,W0353,D025,WP014,S0026,Assigned
A00272,W0799,D026,WP007,S0027,Assigned
A00273,W0500,D026,WP007,S0027,Assigned
A00274,W0054,D026,WP007,S0027,Assigned
A00275,W0565,D026,WP007,S0027,Assigned
A00276,W0268,D026,WP007,S0027,Assigned
A00277,W0424,D026,WP007,S0027,Assigned
A00278,W0129,D026,WP007,S0027,Assigned
A00279,W0206,D026,WP007,S0027,Assigned
A00280,W0410,D012,WP002,S0028,Assigned
A00281,W0795,D012,WP002,S0028,Assigned
A00282,W0356,D012,WP002,S0028,Assigned
A00283,W0540,D012,WP002,S0028,Assigned
A00284,W0324,D012,WP002,S0028,Assigned
A00285,W0088,D012,WP002,S0028,Assigned
A00286,W0279,D012,WP002,S0028,Absent
A00287,W0799,D012,WP002,S0028,Assigned
A00288,W0570,D012,WP002,S0028,Assigned
A00289,W0585,D044,WP006,S0029,Assigned
A00290,W0648,D044,WP006,S0029,Assigned
A00291,W0525,D044,WP006,S0029,Assigned
A00292,W0754,D044,WP006,S0029,Assigned
A00293,W0718,D044,WP006,S0029,Assigned
A00294,W0112,D044,WP006,S0029,Assigned
A00295,W0230,D044,WP006,S0029,Assigned
A00296,W0453,D013,WP007,S0030,Assigned
A00297,W0113,D013,WP007,S0030,Assigned
A00298,W0122,D013,WP007,S0030,Assigned
A00299,W0442,D013,WP007,S0030,Assigned
A00300,W0704,D013,WP007,S0030,Assigned
A00301,W0524,D013,WP007,S0030,Assigned
A00302,W0689,D013,WP007,S0030,Assigned
A00303,W0625,D036,WP009,S0031,Assigned
A00304,W0790,D036,WP009,S0031,Assigned
A00305,W0198,D036,WP009,S0031,Absent
A00306,W0512,D036,WP009,S0031,Assigned
A00307,W0123,D036,WP009,S0031,Assigned
A00308,W0085,D036,WP009,S0031,Assigned
A00309,W0628,D036,WP009,S0031,Assigned
A00310,W0396,D036,WP009,S0031,Assigned
A00311,W0248,D036,WP009,S0031,Assigned
A00312,W0292,D036,WP009,S0031,Assigned
A00313,W0415,D036,WP009,S0031,Assigned
A00314,W0780,D036,WP009,S0031,Assigned
A00315,W0448,D036,WP009,S0031,Absent
A00316,W0023,D036,WP009,S0031,Assigned
A00317,W0080,D037,WP007,S0032,Absent
A00318,W0074,D037,WP007,S0032,Assigned
A00319,W0549,D037,WP007,S0032,Assigned
A00320,W0451,D037,WP007,S0032,Assigned
A00321,W0376,D037,WP007,S0032,Assigned
A00322,W0112,D037,WP007,S0032,Absent
A00323,W0409,D037,WP007,S0032,Absent
A00324,W0152,D037,WP007,S0032,Assigned
A00325,W0021,D037,WP007,S0032,Assigned
A00326,W0623,D037,WP007,S0032,Assigned
A00327,W0394,D037,WP007,S0032,Assigned
A00328,W0590,D037,WP007,S0032,Assigned
A00329,W0243,D005,WP008,S0033,Assigned
A00330,W0179,D005,WP008,S0033,Assigned
A00331,W0232,D005,WP008,S0033,Assigned
A00332,W0299,D005,WP008,S0033,Assigned
A00333,W0703,D005,WP008,S0033,Assigned
A00334,W0180,D005,WP008,S0033,Assigned
A00335,W0684,D005,WP008,S0033,Assigned
A00336,W0646,D005,WP008,S0033,Assigned
A00337,W0260,D005,WP008,S0033,Absent
A00338,W0462,D005,WP008,S0033,Assigned
A00339,W0670,D005,WP008,S0033,Assigned
A00340,W0768,D005,WP008,S0033,Assigned
A00341,W0659,D005,WP008,S0033,Assigned
A00342,W0050,D005,WP008,S0033,Assigned
A00343,W0131,D014,WP014,S0034,Assigned
A00344,W0717,D014,WP014,S0034,Assigned
A00345,W0481,D014,WP014,S0034,Absent
A00346,W0104,D014,WP014,S0034,Assigned
A00347,W0061,D014,WP014,S0034,Assigned
A00348,W0654,D014,WP014,S0034,Assigned
A00349,W0642,D014,WP014,S0034,Assigned
A00350,W0101,D016,WP014,S0035,Assigned
A00351,W0071,D016,WP014,S0035,Assigned
A00352,W0597,D016,WP014,S0035,Absent
A00353,W0589,D016,WP014,S0035,Assigned
A00354,W0521,D016,WP014,S0035,Assigned
A00355,W0319,D016,WP014,S0035,Assigned
A00356,W0062,D016,WP014,S0035,Assigned
A00357,W0087,D016,WP014,S0035,Assigned
A00358,W0742,D016,WP014,S0035,Assigned
A00359,W0690,D016,WP014,S0035,Assigned
A00360,W0585,D016,WP014,S0035,Absent
A00361,W0214,D016,WP014,S0035,Assigned
A00362,W0622,D019,WP006,S0036,Absent
A00363,W0145,D019,WP006,S0036,Assigned
A00364,W0012,D019,WP006,S0036,Assigned
A00365,W0640,D019,WP006,S0036,Assigned
A00366,W0422,D019,WP006,S0036,Absent
A00367,W0072,D019,WP006,S0036,Assigned
A00368,W0518,D019,WP006,S0036,Assigned
A00369,W0550,D019,WP006,S0036,Assigned
A00370,W0249,D019,WP006,S0036,Assigned
A00371,W0699,D019,WP006,S0036,Absent
A00372,W0304,D019,WP006,S0036,Assigned
A00373,W0434,D015,WP000,S0037,Assigned
A00374,W0751,D015,WP000,S0037,Assigned
A00375,W0516,D015,WP000,S0037,Assigned
A00376,W0224,D015,WP000,S0037,Absent
A00377,W0165,D015,WP000,S0037,Assigned
A00378,W0235,D015,WP000,S0037,Assigned
A00379,W0481,D015,WP000,S0037,Assigned
A00380,W0675,D015,WP000,S0037,Assigned
A00381,W0531,D004,WP008,S0038,Assigned
A00382,W0104,D004,WP008,S0038,Assigned
A00383,W0420,D004,WP008,S0038,Assigned
A00384,W0100,D004,WP008,S0038,Absent
A00385,W0139,D004,WP008,S0038,Assigned
A00386,W0263,D004,WP008,S0038,Assigned
A00387,W0112,D004,WP008,S0038,Absent
A00388,W0053,D039,WP003,S0039,Assigned
A00389,W0633,D039,WP003,S0039,Assigned
A00390,W0627,D039,WP003,S0039,Assigned
A00391,W0324,D039,WP003,S0039,Assigned
A00392,W0575,D039,WP003,S0039,Absent
A00393,W0512,D039,WP003,S0039,Assigned
A00394,W0070,D039,WP003,S0039,Assigned
A00395,W0032,D039,WP003,S0039,Assigned
A00396,W0443,D039,WP003,S0039,Assigned
A00397,W0554,D039,WP003,S0039,Assigned
A00398,W0743,D039,WP003,S0039,Assigned
A00399,W0029,D039,WP003,S0039,Assigned
A00400,W0221,D039,WP003,S0039,Assigned
A00401,W0022,D039,WP003,S0039,Assigned
A00402,W0271,D039,WP003,S0039,Assigned
A00403,W0519,D033,WP000,S0040,Assigned
A00404,W0731,D033,WP000,S0040,Assigned
A00405,W0735,D033,WP000,S0040,Assigned
A00406,W0440,D033,WP000,S0040,Assigned
A00407,W0158,D033,WP000,S0040,Assigned
A00408,W0048,D033,WP000,S0040,Assigned
A00409,W0361,D033,WP000,S0040,Absent
A00410,W0750,D033,WP000,S0040,Assigned
A00411,W0093,D031,WP010,S0041,Assigned
A00412,W0002,D031,WP010,S0041,Assigned
A00413,W0115,D031,WP010,S0041,Absent
A00414,W0756,D031,WP010,S0041,Assigned
A00415,W0449,D031,WP010,S0041,Assigned
A00416,W0731,D031,WP010,S0041,Assigned
A00417,W0581,D031,WP010,S0041,Absent
A00418,W0532,D042,WP013,S0042,Assigned
A00419,W0724,D042,WP013,S0042,Assigned
A00420,W0642,D042,WP013,S0042,Assigned
A00421,W0027,D042,WP013,S0042,Assigned
A00422,W0056,D042,WP013,S0042,Absent
A00423,W0245,D042,WP013,S0042,Assigned
A00424,W0747,D042,WP013,S0042,Absent
A00425,W0664,D042,WP013,S0042,Assigned
A00426,W0787,D042,WP013,S0042,Assigned
A00427,W0134,D042,WP013,S0042,Assigned
A00428,W0450,D042,WP013,S0042,Assigned
A00429,W0651,D042,WP013,S0042,Assigned
A00430,W0381,D042,WP013,S0042,Assigned
A00431,W0445,D042,WP013,S0042,Assigned
